track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_deezer_playlists,streams,in_apple_playlists,in_spotify_charts,in_apple_charts,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Overall Ranking
lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,11,15032,"1,078",2355719893,221,30,96,2,136,115,35,12,30,93,0,10,3,66
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21,871,32,66902503,25,32,59,5,88,128,78,59,65,10,0,26,5,46
Queencard,(G)I-DLE,1,2023,5,15,451,7,96273746,10,33,126,0,148,130,82,69,83,3,0,27,5,76.75
OMG,NewJeans,1,2023,1,2,1783,15,430977451,26,27,124,1,22,127,80,74,77,36,0,11,4,43.5
Radio,Lana Del Rey,1,2011,1,1,9389,282,284819874,24,46,122,3,368,150,42,20,86,21,0,9,9,134.75
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,5724,254,721975598,119,44,108,29,22,122,78,50,63,27,0,9,5,50.75
505,Arctic Monkeys,1,2007,4,20,13985,588,1217120710,30,25,80,1,1,140,52,20,85,0,0,7,5,26.75
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,6,2,1051,31,109276132,31,16,37,0,189,140,63,22,54,46,0,12,8,60.5
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,1682,30,276259178,24,46,90,1,176,119,75,48,53,18,0,18,34,78.25
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,182,1,54225632,3,8,88,0,52,110,76,96,72,32,0,9,4,37
Perfect,Ed Sheeran,1,2017,1,1,16596,"2,094",2559529074,7,13,0,0,0,95,60,17,45,16,0,11,2,3.25
Romantic Homicide,d4vd,1,2022,7,20,2335,50,681583126,82,23,55,0,9,132,56,20,55,45,1,32,3,21.75
Believer,Imagine Dragons,1,2017,1,31,18986,"2,969",2594040133,250,23,121,10,31,125,77,74,78,4,0,23,11,46.25
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19,283,26,81102253,6,7,9,1,66,124,84,65,50,67,0,13,6,20.75
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,1,293,30,11956641,5,8,2,2,66,133,93,68,65,42,0,12,25,19.5
Without Me,Eminem,1,2002,1,1,21081,"3,889",1687664027,98,43,76,5,0,112,92,67,66,0,0,36,9,31
QUEMA,"Sog, Ryan Castro, Peso Pluma",3,2023,7,13,437,26,11599388,17,31,29,3,208,97,79,92,89,5,0,6,5,67.75
Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,11,24,1275,5,611700552,13,32,8,0,1,90,59,52,48,38,5,10,11,10.25
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2,2022,5,6,6135,99,1133865788,71,38,113,13,28,80,65,27,69,8,0,53,4,48
Somewhere Only We Know,Keane,1,2004,1,1,20015,"5,239",1089402494,107,16,69,0,558,172,45,33,59,6,0,8,3,160.75
Those Eyes,New West,1,2019,5,10,1507,44,411747614,24,14,71,1,195,120,60,24,35,73,0,31,3,70.25
El Gordo Trae El Mando,Chino Pacas,1,2023,1,27,539,4,255932395,7,21,71,2,13,140,74,96,80,18,0,5,5,26.75
Mi Bello Angel,Natanael Cano,1,2023,6,30,86,3,31873544,7,8,76,1,93,128,81,90,77,1,0,9,5,44.5
Bye,Peso Pluma,1,2023,5,26,324,8,95053634,13,14,110,2,60,122,78,70,81,57,0,10,5,46.5
Danza Kuduro,"Don Omar, Lucenzo",2,2010,1,1,17138,974,1279434863,119,37,81,1,503,130,47,86,92,8,0,5,24,155.5
Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,2,894,66,233801632,14,9,88,3,72,160,69,61,71,33,0,31,20,43
Locked Out Of Heaven,Bruno Mars,1,2012,12,5,1622,356,1481349984,0,9,0,0,0,144,73,87,70,6,0,28,5,2.25
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,4,4,561,12,142095275,4,14,14,5,56,192,50,85,52,11,0,28,6,22.25
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,2022,6,17,5871,58,618885532,81,27,121,1,34,163,54,40,67,0,0,9,17,45.75
Counting Stars,OneRepublic,1,2013,1,1,29215,"3,394",2011464183,179,43,97,11,153,122,66,48,71,6,0,12,4,76
Ghost,Justin Bieber,1,2021,3,19,5866,95,1167330737,107,24,38,0,,154,61,41,74,21,0,40,6,20.66666667
Under The Influence,Chris Brown,1,2019,10,4,3859,3,929964809,133,26,181,0,,117,73,31,69,6,0,11,4,69
PRC,"Natanael Cano, Peso Pluma",2,2023,1,23,961,10,436027885,19,26,143,6,15,138,78,89,83,10,0,12,5,47.5
Gasolina,Daddy Yankee,1,2004,7,13,6457,453,657723613,98,18,95,0,454,96,86,74,80,33,0,8,6,141.75
One Dance,"Drake, WizKid, Kyla",3,2016,4,4,43257,"3,631",2713922350,433,24,107,0,26,104,77,36,63,1,0,36,5,39.25
Enchanted,Taylor Swift,1,2010,1,1,4564,113,621660989,24,16,101,0,40,164,45,24,62,8,0,16,3,39.25
Save Your Tears,The Weeknd,1,2020,3,20,12688,112,1591223784,197,13,115,0,200,118,68,61,82,2,0,50,3,82
Sure Thing,Miguel,1,2010,5,25,13801,435,950906471,137,19,125,6,285,81,68,51,60,3,0,19,10,108.75
Every Breath You Take - Remastered 2003,The Police,1,1983,1,6,22439,929,1593270737,211,19,74,0,129,117,82,73,45,54,0,7,3,55.5
The Night We Met,Lord Huron,1,2015,2,2,18515,939,1410088830,70,35,82,1,162,174,45,10,37,97,25,64,4,70
We Found Love,"Rihanna, Calvin Harris",2,2011,1,1,36843,"4,607",1235005533,321,21,91,1,58,128,73,60,77,3,0,11,4,42.75
When I Was Your Man,Bruno Mars,1,2012,12,5,2420,806,1661187319,0,11,0,0,0,145,60,43,27,94,0,14,4,2.75
Let Me Down Slowly,Alec Benjamin,1,2018,5,25,5897,885,1374581173,0,19,0,0,0,150,65,51,55,73,0,14,3,4.75
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,727,28,94186466,17,16,60,1,44,90,60,13,53,4,0,21,4,30.25
Do I Wanna Know?,Arctic Monkeys,1,2013,1,1,33783,"2,733",1788326445,133,26,92,1,26,85,55,42,53,17,0,22,3,36.25
Demons,Imagine Dragons,1,2012,1,1,26694,"3,425",1840364617,65,13,82,4,13,180,33,38,71,20,0,28,5,28
