track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_deezer_playlists,streams,in_apple_playlists,in_spotify_charts,in_apple_charts,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Overall Ranking
VIBE (feat. Jimin of BTS),"TAEYANG, Jimin",2,2023,1,13,415,21,152850295,15,2,40,1,15,100,79,60,68,7,0,26,4,14.5
Shirt,SZA,1,2022,10,28,3469,31,309653982,71,0,95,0,2,120,82,55,45,15,3,9,10,24.25
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,1,2022,10,28,3311,212,297328960,129,0,31,1,41,177,25,17,30,90,0,13,3,18.25
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,1,2022,9,22,2616,208,332506354,113,0,17,0,192,142,64,31,72,15,0,9,5,52.25
"Sex, Drugs, Etc.",Beach Weather,1,2016,11,4,3006,87,480507035,47,16,60,12,124,144,57,47,84,1,1,52,4,53
Boy With Luv (feat. Halsey),"Halsey, BTS",2,2019,4,12,4260,259,1065580332,113,0,92,0,1,120,65,80,86,9,0,19,10,23.25
"Hey, Mickey!",Baby Tate,1,2016,9,27,482,12,122763672,9,0,1,4,3,135,92,73,51,55,0,15,6,2
Calm Down,Rï¿½ï,1,2022,2,9,4013,750,445763624,107,10,44,22,,107,81,82,78,38,0,12,4,25.33333333
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,2022,12,22,138,2,1365184,13,4,78,0,0,105,82,62,74,10,0,33,7,20.5
Escapism. - Sped Up,"RAYE, 070 Shake",2,2022,11,25,1368,11,184308753,12,0,1,0,8,108,44,38,77,9,0,9,20,2.25
Space Song,Beach House,1,2015,1,1,17852,335,789753877,69,4,76,0,,147,51,62,79,22,13,14,3,26.66666667
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"BTS, Jung Kook, FIFA Sound",3,2022,11,20,889,35,323358833,11,20,78,0,21,115,71,34,88,16,0,44,4,29.75
Te Felicito,"Shakira, Rauw Alejandro",2,2022,4,21,4796,212,606361689,124,9,66,13,1,174,70,57,64,23,0,8,32,22.25
Muï¿½ï¿½,"Steve Aoki, Tini, La Joaqui",3,2023,1,12,658,53,120972253,33,6,7,2,0,90,68,83,71,3,0,31,8,3.75
TV,Billie Eilish,1,2022,7,21,3009,65,338564981,68,2,89,0,25,141,41,9,25,84,1,14,4,29
I'm Not The Only One,Sam Smith,1,2014,1,1,17492,"1,959",1606986953,136,3,24,0,30,82,68,50,49,56,0,8,4,14.25
Heather,Conan Gray,1,2020,3,20,6170,231,1301799902,82,7,1,0,2,92,47,25,43,62,0,32,3,2.5
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",6,2022,12,12,130,2,140187018,21,4,79,0,0,116,77,65,80,6,0,15,4,20.75
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2,2017,6,2,27705,"2,726",1897517891,537,10,122,6,,124,79,59,86,4,0,8,11,46
Sugar Rush Ride,TOMORROW X TOGETHER,1,2023,1,27,359,13,107642809,12,0,56,0,13,125,71,83,89,1,0,17,9,17.25
Pink Venom,BLACKPINK,1,2022,8,19,1963,77,551305895,57,16,119,1,13,90,80,71,69,2,0,27,10,37.25
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",3,2022,4,27,5491,75,556585270,128,14,84,0,35,83,46,34,64,31,0,7,34,33.25
Don't Start Now,Dua Lipa,1,2019,10,31,27119,"1,535",2303033973,532,0,77,3,8,124,79,68,79,1,0,10,8,22
After Dark,Mr.Kitty,1,2014,8,8,1776,3,646886885,1,14,9,0,0,140,58,4,60,7,41,8,3,5.75
Eu Gosto Assim - Ao Vivo,"Gustavo Mioto, Mari Fernandez",2,2022,9,16,1473,66,222612678,27,4,64,1,4,154,64,61,91,15,0,72,4,18.25
INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X",2,2021,7,23,13315,690,1814349763,300,0,47,0,,150,74,89,70,2,0,5,6,15.66666667
MIDDLE OF THE NIGHT,Elley Duhï¿,1,2020,1,10,4057,240,872137015,78,8,21,1,52,186,41,9,61,2,0,12,5,20.5
Atlantis,Seafret,1,2015,4,22,3045,134,571386359,43,6,53,1,32,166,40,23,48,5,0,12,3,23
PUNTO 40,"Baby Rasta, Rauw Alejandro",2,2022,9,22,3006,66,304079786,54,12,32,2,0,107,87,20,83,0,4,31,9,11.5
Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",3,2022,9,9,852,50,174006928,14,0,1,0,0,87,87,52,52,31,0,28,24,0.25
How Do I Say Goodbye,Dean Lewis,1,2022,8,5,2163,58,284785823,72,15,97,0,154,82,40,39,64,21,0,7,7,66.5
Blind,SZA,1,2022,12,9,1484,12,163284000,22,0,51,0,0,114,46,60,28,91,0,21,4,12.75
Die For You,Joji,1,2022,11,4,1703,36,246390068,38,0,45,16,0,148,47,15,52,38,13,29,5,15.25
Doja,Central Cee,1,2022,7,20,4169,183,482257456,57,44,44,1,11,140,91,97,57,38,0,40,29,25
Gatita,Bellakath,1,2022,10,3,1054,15,168684524,9,0,0,0,1,101,90,76,81,15,24,33,6,0.25
Rumble,"Skrillex, Flowdan, Fred again..",3,2022,1,17,2849,27,78489819,39,0,45,0,1,140,81,6,84,5,23,6,6,11.5
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",3,2022,12,2,1602,12,195516622,12,0,22,0,2,88,49,24,66,19,0,18,29,6
Yonaguni,Bad Bunny,1,2021,6,4,9644,164,1260594497,120,28,86,4,0,180,64,44,65,28,0,14,12,29.5
Super Freaky Girl,Nicki Minaj,1,2022,8,12,4827,76,428685680,104,0,17,9,2,133,95,91,89,6,0,31,24,7
Running Up That Hill (A Deal With God),Kate Bush,1,1985,9,16,21811,676,1024858327,117,0,1,3,0,108,63,20,55,72,0,6,6,1
Dream On,Aerosmith,1,1973,1,5,168,5,838586769,0,0,0,0,0,80,39,24,43,39,0,23,3,0
Limbo,Freddie Dredd,1,2022,8,11,688,17,199386237,14,0,1,0,2,75,80,46,62,3,6,11,46,0.75
Where Are You Now,"Lost Frequencies, Calum Scott",2,2021,7,30,10565,557,972509632,238,44,122,17,58,121,67,26,64,52,0,17,10,60.25
WORTH NOTHING,"Twisted, Oliver Tree",2,2022,9,28,1612,34,213438580,34,0,54,0,2,140,58,17,62,18,0,20,8,14
Bad Habits,Ed Sheeran,1,2020,9,3,12755,945,1555511105,344,8,97,15,,126,81,59,90,5,0,36,3,40
KICK BACK,Kenshi Yonezu,1,2022,10,12,574,26,210038833,38,4,101,0,0,102,58,29,94,0,0,9,11,26.25
Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A,Omar Apollo,1,2022,4,8,2499,49,227918678,70,0,0,0,0,82,70,31,34,60,1,11,4,0
Good Days,SZA,1,2020,12,24,10426,182,826623384,133,2,109,1,10,121,46,53,78,23,0,72,6,30.5
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2,2020,3,27,15894,544,1802514301,198,8,13,0,60,103,70,92,83,1,0,7,6,20.25
Woman,Doja Cat,1,2021,6,25,9424,463,1329090101,202,0,50,4,,108,82,88,76,9,0,12,9,18
Shut up My Moms Calling - (Sped Up),Hotel Ugly,1,2022,9,14,713,6,181831132,2,7,4,0,0,85,65,36,47,31,0,12,10,2.75
Ferrari,"James Hype, Miggy Dela Rosa",2,2022,3,14,7758,175,462791599,173,28,79,0,168,125,84,70,69,1,0,5,5,68.75
"You're On Your Own, Kid",Taylor Swift,1,2022,10,21,2537,20,348647203,8,2,18,0,1,120,69,40,39,41,0,13,6,5.25
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",3,2022,7,17,292,4,366599607,26,6,98,0,0,94,58,44,57,57,0,10,3,26
Agudo Mï¿½ï¿½gi,"Styrx, utku INC, Thezth",3,1930,1,1,323,14,90598517,4,0,0,0,0,130,65,49,80,22,4,7,5,0
Payphone,"Maroon 5, Wiz Khalifa",2,2012,1,1,14143,"1,891",1479264469,56,4,38,1,,110,74,51,74,2,0,29,4,14.33333333
All I Want for Christmas Is You,Mariah Carey,1,1994,10,28,25653,"2,094",1449779435,387,0,132,0,,150,34,33,63,16,0,7,4,44
Last Christmas,Wham!,1,1984,1,1,22153,"1,302",1159176109,274,0,111,0,,107,74,88,65,28,0,46,3,37
Rockin' Around The Christmas Tree,Brenda Lee,1,1958,1,1,14994,206,769213520,191,0,168,0,,140,70,85,41,71,0,45,5,56
Jingle Bell Rock,Bobby Helms,1,1957,1,1,10326,104,741301563,165,0,99,0,,119,74,78,37,84,0,6,3,33
It's Beginning To Look A Lot Like Christmas,Michael Bublï¿,1,2011,10,14,12353,549,807561936,35,0,0,0,0,93,35,38,23,91,0,29,3,0
Santa Tell Me,Ariana Grande,1,2013,12,13,9408,439,834129063,231,0,106,0,,133,46,53,63,5,0,30,18,35.33333333
It's the Most Wonderful Time of the Year,Andy Williams,1,1963,10,14,8879,160,663832097,182,0,107,0,1,202,24,76,60,77,0,12,4,27
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1,1959,11,16,6512,277,446390129,88,0,1,0,0,134,45,72,24,91,0,18,4,0.25
Snowman,Sia,1,2017,1,1,5140,500,690104769,85,0,110,0,,105,72,33,51,48,0,9,3,36.66666667
Underneath the Tree,Kelly Clarkson,1,2013,10,25,6596,251,485285717,144,0,99,0,0,160,51,69,81,0,0,21,5,24.75
Feliz Navidad,Josï¿½ï¿½ Felic,1,1970,11,1,3788,10,520034544,21,0,3,0,0,148,50,96,82,47,0,34,4,0.75
Holly Jolly Christmas,Michael Bublï¿,1,2011,10,14,7655,291,476244795,5,0,0,0,0,151,65,70,47,87,0,9,4,0
Mistletoe,Justin Bieber,1,2011,1,1,9577,310,629173063,195,0,111,0,0,162,67,88,54,51,0,9,4,27.75
Sleigh Ride,The Ronettes,1,1963,11,22,10114,262,404664135,114,0,74,0,0,92,53,84,77,40,0,32,3,18.5
Seek & Destroy,SZA,1,2022,12,9,1007,1,98709329,5,0,31,0,0,152,65,35,65,44,18,21,7,7.75
Love Language,SZA,1,2022,12,9,1127,8,110849052,16,0,63,0,0,65,71,55,26,85,0,13,8,15.75
Happy Xmas (War Is Over),"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",4,1971,12,1,10829,390,460492795,130,0,1,0,0,147,33,39,61,32,0,77,3,0.25
Used (feat. Don Toliver),"SZA, Don Toliver",2,2022,12,8,1042,3,94005786,7,0,29,0,0,150,73,71,69,53,0,32,9,7.25
A Holly Jolly Christmas - Single Version,Burl Ives,1,1952,1,1,7930,73,395591396,108,0,120,0,0,140,67,81,36,64,0,15,3,30
The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,1,1946,11,1,11500,251,389771964,140,0,72,0,0,139,36,22,15,84,0,11,4,18
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,1,1979,11,16,1685,29,403939487,1,0,0,0,0,95,75,74,58,36,0,9,3,0
Do They Know It's Christmas? - 1984 Version,Band Aid,1,1984,11,25,14169,449,481697415,209,0,30,0,0,115,60,23,57,0,2,27,3,7.5
Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",2,2022,12,9,1634,4,110073250,16,0,20,0,0,125,62,59,43,84,3,11,5,5
Special,SZA,1,2022,12,9,906,3,88092256,6,0,21,0,0,76,60,19,20,78,0,11,5,5.25
Merry Christmas Everyone,Shakin' Stevens,1,1984,1,1,1087,5,351636786,90,0,35,0,0,101,72,91,87,14,0,13,3,8.75
Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",2,1950,1,1,10585,406,473248298,126,0,108,0,0,143,60,86,32,88,0,34,6,27
SOS,SZA,1,2022,12,9,827,1,73981293,6,0,18,0,0,119,51,51,66,67,0,9,23,4.5
Open Arms (feat. Travis Scott),"SZA, Travis Scott",2,2022,12,8,1420,17,155653938,13,4,87,0,46,78,67,22,59,76,1,15,16,34.25
White Christmas,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",3,1942,1,1,11940,123,395591396,73,0,79,0,0,96,23,19,25,91,0,40,3,19.75
Driving Home for Christmas - 2019 Remaster,Chris Rea,1,1986,1,1,888,6,429504768,50,0,0,0,0,180,51,87,58,36,0,18,4,0
Christmas (Baby Please Come Home),Darlene Love,1,1963,11,22,9122,212,242767149,121,0,58,0,0,126,34,35,76,39,0,8,5,14.5
Gone Girl,SZA,1,2022,12,9,892,2,65362788,3,0,17,0,0,150,43,42,44,57,0,15,6,4.25
F2F,SZA,1,2022,12,9,989,1,67540165,5,0,9,0,0,90,53,47,74,9,0,34,4,2.25
Notice Me,SZA,1,2022,12,9,819,0,62019074,14,0,22,0,0,160,72,78,68,28,0,11,12,5.5
Merry Christmas,"Ed Sheeran, Elton John",2,2017,11,10,2209,141,135723538,72,0,90,0,0,114,59,60,94,24,0,10,4,22.5
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",3,1958,1,1,6290,158,295998468,89,0,39,0,0,113,73,72,32,77,0,15,5,9.75
My Only Wish (This Year),Britney Spears,1,2000,11,7,6952,286,261116938,115,0,53,0,0,147,67,69,72,17,0,19,3,13.25
Antidepresan,"Mabel Matiz, Mert Demir",2,2022,11,4,313,7,136689549,10,2,6,1,9,100,70,92,59,3,0,10,3,4.5
Wild Flower (with youjeen),RM,1,2022,12,2,353,14,135611421,2,2,74,0,2,155,49,42,77,3,0,12,9,19.5
I Hate U,SZA,1,2021,12,3,4094,43,356709897,66,0,96,0,0,107,54,41,39,51,0,11,16,24
Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",2,2022,12,2,880,10,110649992,3,0,7,0,0,112,80,15,54,9,0,38,5,1.75
SPIT IN MY FACE!,ThxSoMch,1,2022,10,31,573,18,301869854,1,0,0,0,24,166,70,57,57,9,20,11,7,6
Deck The Hall - Remastered 1999,Nat King Cole,1,1959,1,1,3299,41,127027715,65,0,39,0,0,107,69,96,36,81,0,8,4,9.75
Smoking on my Ex Pack,SZA,1,2022,12,9,811,3,57144458,6,0,11,0,0,81,47,33,68,24,0,22,38,2.75
Conceited,SZA,1,2022,12,9,899,2,56870689,2,0,14,0,0,150,79,77,46,5,0,11,7,3.5
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2,2022,10,21,2415,30,323437194,33,0,57,0,11,110,66,19,32,69,0,12,4,17
Maroon,Taylor Swift,1,2022,10,21,2304,14,317726339,12,0,16,0,0,108,64,4,40,6,0,10,6,4
Tubarï¿½ï¿½o Te,"Dj LK da Escï¿½ï¿½cia, Tchakabum, mc jhenny, M",4,2022,9,28,1003,44,116144341,21,0,0,0,0,130,89,48,74,30,0,7,36,0
Bejeweled,Taylor Swift,1,2022,10,21,2699,22,328207708,39,0,35,2,0,164,70,39,56,6,0,9,7,9.25
Tarot,"Bad Bunny, Jhay Cortez",2,2022,5,6,2482,22,608228647,27,20,77,2,0,114,80,42,68,2,0,66,4,24.75
You Make It Feel Like Christmas (feat. Blake Shelton),"Gwen Stefani, Blake Shelton",2,2005,9,20,2577,30,180577478,108,0,56,0,0,93,63,93,88,1,0,12,4,14
Desesperados,"Chencho Corleone, Rauw Alejandro",2,2021,6,25,6821,128,809306935,83,34,58,7,0,90,87,51,69,36,0,9,8,24.75
Too Late,SZA,1,2022,12,8,714,2,49262961,0,0,9,0,0,128,45,35,68,78,0,39,8,2.25
Party,"Bad Bunny, Rauw Alejandro",2,2022,5,6,3185,37,614555082,38,4,64,3,36,97,83,47,80,2,0,24,9,26.75
Run Rudolph Run - Single Version,Chuck Berry,1,1958,1,1,8612,52,245350949,120,0,30,0,1,152,69,94,71,79,0,7,8,7.75
Jingle Bells - Remastered 1999,Frank Sinatra,1,1957,1,1,4326,65,178660459,32,0,3,0,0,175,51,94,34,73,0,10,5,0.75
Far,SZA,1,2022,12,9,680,1,51641685,2,0,15,0,0,116,61,48,55,67,0,16,8,3.75
On Time (with John Legend),"John Legend, Metro Boomin",2,2022,12,2,398,6,78139948,2,0,2,0,2,80,33,51,59,76,0,44,6,1
GATï¿½ï¿½,"Maldy, Karol G",2,2022,8,25,3328,57,322336177,39,13,50,3,1,93,63,34,86,26,0,21,39,16.75
ýýýabcdefu,Gayle,1,2021,8,13,7215,575,1007612429,170,0,12,18,,122,70,42,54,30,0,37,5,10
Sacrifice,The Weeknd,1,2022,1,7,4440,133,326792833,81,0,77,0,,122,70,91,79,3,0,7,10,25.66666667
Is There Someone Else?,The Weeknd,1,2022,1,7,2881,34,391251368,13,6,89,0,3,135,70,60,58,4,0,16,3,24.5
Fingers Crossed,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",3,2022,1,5,2235,70,349585590,65,0,7,16,6,109,60,45,47,62,0,31,5,7.25
Out of Time,The Weeknd,1,2022,1,7,3711,62,339659802,49,0,88,0,,93,65,82,74,27,0,32,5,29.33333333
Do It To It,"Cherish, ACRAZE",2,2021,8,20,12403,465,674772936,183,0,63,0,11,125,85,64,81,2,5,7,9,18.5
We Don't Talk About Bruno,"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",7,2021,11,19,2785,44,432719968,95,0,89,0,,206,58,83,45,36,0,11,8,29.66666667
Pepas,Farruko,1,2021,6,24,14114,965,1309887447,252,17,109,20,,130,76,44,77,1,0,13,3,48.66666667
How Do I Make You Love Me?,The Weeknd,1,2022,1,7,1915,15,119238316,7,0,47,0,0,121,80,62,51,2,0,9,8,11.75
Gasoline,The Weeknd,1,2022,1,7,2297,14,116903579,11,0,29,0,0,123,74,35,73,0,0,21,5,7.25
Infinity,Jaymes Young,1,2017,6,23,4375,396,888046992,24,0,0,0,0,122,67,50,67,15,0,30,4,0
Less Than Zero,The Weeknd,1,2022,1,7,2800,61,200660871,18,0,77,0,1,143,53,50,79,0,0,8,3,19.5
Take My Breath,The Weeknd,1,2021,8,6,2597,38,130655803,17,0,80,0,0,121,70,35,77,1,0,26,4,20
good 4 u,Olivia Rodrigo,1,2021,5,14,15563,461,1887039593,259,6,55,1,,166,56,68,66,28,0,11,18,20.66666667
"Here We Goï¿½ï¿½ï¿½ Again (feat. Tyler, the Cr","The Weeknd, Tyler, The Creator",3,2022,1,7,1420,7,88103848,7,0,18,0,0,135,41,27,64,36,0,60,3,4.5
Best Friends,The Weeknd,1,2022,1,7,1292,14,101114984,3,0,18,0,0,87,49,49,59,44,0,35,21,4.5
Kiss Me More (feat. SZA),"SZA, Doja Cat",2,2021,4,9,15867,497,1575467011,382,0,65,0,12,111,77,74,66,30,0,13,3,19.25
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2,2022,1,7,1178,9,91656026,9,0,10,0,0,110,75,85,84,10,0,31,19,2.5
Need To Know,Doja Cat,1,2021,6,11,6672,150,1042568408,125,0,36,0,,130,66,19,61,30,0,9,7,12
MONTERO (Call Me By Your Name),Lil Nas X,1,2020,9,18,12329,738,1735441776,275,0,19,0,,179,61,76,51,30,0,38,15,6.333333333
love nwantiti (ah ah ah),Ckay,1,2019,7,26,5669,262,726837877,74,2,0,14,,93,74,53,73,61,0,13,4,5.333333333
Dawn FM,The Weeknd,1,2022,1,7,811,6,53933526,1,0,8,0,0,78,27,10,49,62,0,49,5,2
Surface Pressure,Jessica Darrow,1,2021,11,19,1756,20,267758538,38,0,48,0,0,180,65,37,58,2,0,4,31,12
Starry Eyes,The Weeknd,1,2022,1,7,1014,11,74601456,1,0,17,0,0,86,28,13,41,50,0,19,3,4.25
THATS WHAT I WANT,Lil Nas X,1,2021,9,17,7963,298,920797189,173,0,7,0,4,88,74,55,85,1,0,5,22,2.75
One Right Now (with The Weeknd),"The Weeknd, Post Malone",2,2021,11,5,4771,75,539595276,68,0,18,0,1,97,68,72,78,4,0,7,5,4.75
Beggin,Mï¿½ï¿½ne,1,2017,12,8,8559,964,1367810478,183,0,64,9,75,134,71,59,80,13,0,36,5,37
Mon Amour - Remix,"Aitana, zzoilo",2,2020,9,21,3221,139,578207856,67,2,13,0,40,116,75,36,76,12,0,10,10,13.75
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",3,2021,10,5,3423,53,775542072,61,26,65,6,0,170,64,14,70,9,0,9,8,24.25
MONEY,Lisa,1,2021,9,10,2566,131,863625566,44,13,109,0,,140,83,40,55,16,0,14,23,40.66666667
The Motto,"Tiï¿½ï¿½sto, Ava",2,2021,11,4,9151,268,656013912,240,6,107,0,5,118,75,46,76,3,0,9,4,29.5
Happier Than Ever,Billie Eilish,1,2021,7,30,8476,283,1056760045,138,0,133,0,,65,31,31,24,76,0,14,4,44.33333333
Moth To A Flame (with The Weeknd),"The Weeknd, Swedish House Mafia",2,2021,10,22,7495,284,611994237,114,17,172,2,,120,56,16,67,0,0,11,4,63.66666667
traitor,"Juan Cruz Toledo, Huilen Toledo",2,2021,5,21,5257,134,1230855859,85,6,43,0,,176,29,12,33,68,0,12,5,16.33333333
Toxic,BoyWithUke,1,2021,9,10,1795,118,582981380,34,0,23,0,,180,59,69,61,84,0,46,36,7.666666667
drivers license,Olivia Rodrigo,1,2021,1,8,12685,485,1858144199,185,3,61,0,,144,59,21,43,76,0,10,7,21.33333333
Malvadï¿½ï¿,"Xamï¿½ï¿½, Gustah, Neo B",3,2021,11,30,648,81,240684449,14,1,3,0,0,133,82,52,61,38,0,14,27,1
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,2021,11,12,4635,30,583687007,50,5,49,1,2,93,63,21,52,28,0,9,3,14.25
Donï¿½ï¿½ï¿½t Break My,The Weeknd,1,2022,1,7,1184,6,63803529,1,0,5,0,0,122,77,25,62,34,0,23,3,1.25
Oh My God,Adele,1,2021,11,19,4431,199,466214729,105,0,7,0,0,88,53,55,73,9,0,3,5,1.75
Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",4,2022,1,5,759,12,236940480,32,3,0,0,0,170,70,61,44,40,0,37,4,0.75
A Tale By Quincy,The Weeknd,1,2022,1,7,733,2,41924466,0,0,2,0,0,94,46,55,50,71,0,10,11,0.5
I AM WOMAN,Emmy Meli,1,2021,11,18,2795,107,225259194,45,0,0,0,0,170,65,46,47,12,0,13,16,0
Medallo,"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",3,2021,10,27,2780,57,393230256,54,2,21,1,0,90,79,79,70,57,0,66,8,6
It'll Be Okay,Shawn Mendes,1,2021,12,1,1950,104,287201015,56,0,8,0,10,78,40,7,29,62,0,9,3,4.5
Softcore,The Neighbourhood,1,2018,3,9,3947,93,599770206,33,12,102,0,30,94,57,36,58,5,0,15,3,36
Super Gremlin,Kodak Black,1,2021,10,30,2551,35,342779426,52,0,15,0,1,73,83,11,41,0,0,36,14,4
Volvï¿,"Aventura, Bad Bunny",2,2021,8,3,5375,133,673801126,138,10,24,0,1,176,73,79,86,42,0,7,18,8.75
Todo De Ti,Rauw Alejandro,1,2020,11,2,11975,268,1168642797,188,8,75,6,16,128,81,57,63,40,1,10,4,26.25
Love Nwantiti - Remix,"Ckay, AX'EL, Dj Yo!",3,2019,8,30,2696,57,540539717,42,0,2,0,,120,58,44,60,44,9,5,6,0.666666667
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,11,5,4963,76,383550148,63,0,40,0,0,82,63,85,62,6,0,35,4,10
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",3,2020,3,13,6734,90,530511203,47,0,14,0,1,95,77,40,47,2,0,9,3,3.75
Every Angel is Terrifying,The Weeknd,1,2022,1,7,715,2,37307967,0,0,1,0,0,118,44,52,94,11,0,4,29,0.25
Tacones Rojos,Sebastian Yatra,1,2021,10,22,3047,85,510876816,77,9,31,5,28,123,75,93,86,8,0,14,3,18.25
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",3,2021,3,19,14140,612,1445941661,231,0,52,6,,90,63,49,68,38,0,42,18,19.33333333
Dakiti,"Bad Bunny, Jhay Cortez",2,2020,10,30,11215,525,1763363713,189,21,166,9,25,110,73,14,57,40,0,11,5,55.25
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",2,2021,12,29,1678,15,374191487,20,12,4,1,3,96,66,76,82,47,0,10,32,5
Lï¿½ï¿½ï¿,Stromae,1,2022,1,9,2035,394,108809090,41,0,122,0,2,88,56,58,55,35,0,23,11,31
Nostï¿½ï¿½l,"Chris Brown, Rvssian, Rauw Alejandro",3,2021,9,8,2780,59,436695353,86,2,76,0,16,98,73,60,85,17,0,24,5,23.5
Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",3,2021,9,24,4091,73,421040617,105,0,2,13,1,110,72,67,68,0,0,14,4,4
Life Goes On,Oliver Tree,1,2020,7,17,2868,116,501541661,43,0,15,0,,80,70,57,49,19,0,12,8,5
Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",3,2021,9,16,3643,70,354065229,69,0,3,0,3,110,86,31,53,43,0,11,6,1.5
Butter,BTS,1,2021,5,21,4779,223,1143647827,180,6,135,0,5,110,79,70,36,0,0,6,11,36.5
pushin P (feat. Young Thug),"Young Thug, Future, Gunna",3,2022,1,7,3517,43,311395144,54,0,28,0,0,78,77,49,42,1,1,13,19,7
You Right,"Doja Cat, The Weeknd",2,2021,6,24,5073,100,672656250,83,0,9,0,4,129,83,44,62,2,0,8,6,3.25
deja vu,Olivia Rodrigo,1,2021,4,1,7545,141,1256880657,117,4,39,0,46,181,44,22,60,61,0,42,9,22.25
Dynamite,BTS,1,2020,8,21,8528,583,1692897992,239,5,163,0,,114,75,74,77,1,0,9,10,56
TO THE MOON,Jnr Choi,1,2021,11,5,2979,159,245095641,44,0,0,0,0,144,74,39,65,5,1,11,35,0
Lost in the Fire,"The Weeknd, Gesaffelstein",2,2019,1,11,7731,447,686734357,110,2,145,0,46,101,66,18,68,9,0,12,4,48.25
Salimo de Noche,"Trueno, Tiago pzk",2,2021,10,21,1057,21,261414174,17,0,5,0,0,84,67,78,63,29,0,12,5,1.25
Volando - Remix,"Sech, Bad Bunny, Mora",3,2021,7,8,3272,70,610045621,101,19,34,1,2,154,66,63,69,21,0,11,7,14
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,3,5,14417,569,1115880852,237,0,123,0,10,148,59,72,62,18,0,9,3,33.25
Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",3,2021,9,3,5199,45,594482982,45,0,43,0,3,146,85,22,37,13,0,7,30,11.5
Don't Be Shy,"Tiï¿½ï¿½sto, Kar",2,2021,8,1,6026,187,566954746,171,0,51,1,21,120,77,51,79,20,0,26,6,18.25
Love Grows (Where My Rosemary Goes),Edison Lighthouse,1,1970,1,1,2877,54,BPM110KeyAModeMajorDanceability53Valence75Energy69Acousticness7Instrumentalness0Liveness17Speechiness3,16,0,0,0,0,110,53,75,69,7,0,17,3,0
LA FAMA (with The Weeknd),"The Weeknd, ROSALï¿½",2,2021,11,11,4640,507,374706940,81,3,93,6,4,136,77,82,30,95,0,13,5,26.5
